C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2025/02/20,09:36:05,001740008165332,MONTHLY_ARCHIVE,001740008165332
I,OPERATIONAL_DEMAND,ACTUAL,3,INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 00:30:00",NSW1,7251,"2025/01/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 00:30:00",QLD1,6418,"2025/01/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 00:30:00",SA1,1402,"2025/01/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 00:30:00",TAS1,1015,"2025/01/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 00:30:00",VIC1,4365,"2025/01/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:00:00",NSW1,7032,"2025/01/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:00:00",QLD1,6309,"2025/01/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:00:00",SA1,1428,"2025/01/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:00:00",TAS1,1009,"2025/01/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:00:00",VIC1,4264,"2025/01/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:30:00",TAS1,1007,"2025/01/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:30:00",NSW1,6868,"2025/01/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:30:00",QLD1,6255,"2025/01/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:30:00",SA1,1410,"2025/01/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 01:30:00",VIC1,4166,"2025/01/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:00:00",NSW1,6662,"2025/01/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:00:00",QLD1,6157,"2025/01/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:00:00",SA1,1367,"2025/01/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:00:00",TAS1,1002,"2025/01/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:00:00",VIC1,4031,"2025/01/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:30:00",NSW1,6528,"2025/01/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:30:00",QLD1,5997,"2025/01/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:30:00",SA1,1316,"2025/01/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:30:00",TAS1,1003,"2025/01/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 02:30:00",VIC1,3914,"2025/01/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:00:00",NSW1,6396,"2025/01/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:00:00",QLD1,5901,"2025/01/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:00:00",SA1,1277,"2025/01/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:00:00",TAS1,989,"2025/01/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:00:00",VIC1,3835,"2025/01/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:30:00",TAS1,997,"2025/01/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:30:00",NSW1,6318,"2025/01/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:30:00",QLD1,5854,"2025/01/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:30:00",SA1,1254,"2025/01/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 03:30:00",VIC1,3788,"2025/01/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:00:00",TAS1,1007,"2025/01/01 04:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:00:00",NSW1,6298,"2025/01/01 04:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:00:00",QLD1,5803,"2025/01/01 04:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:00:00",SA1,1226,"2025/01/01 04:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:00:00",VIC1,3760,"2025/01/01 04:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:30:00",NSW1,6304,"2025/01/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:30:00",QLD1,5774,"2025/01/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:30:00",SA1,1213,"2025/01/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:30:00",TAS1,1024,"2025/01/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 04:30:00",VIC1,3793,"2025/01/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:00:00",NSW1,6223,"2025/01/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:00:00",QLD1,5758,"2025/01/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:00:00",SA1,1210,"2025/01/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:00:00",TAS1,1022,"2025/01/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:00:00",VIC1,3811,"2025/01/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:30:00",NSW1,6143,"2025/01/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:30:00",QLD1,5719,"2025/01/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2025/01/01 05:30:00",SA1,1206,"2025/01/01 05:30:01",0,0
