C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/10/08,09:36:05,001728344165445,MONTHLY_ARCHIVE,001728344165445
I,OPERATIONAL_DEMAND,ACTUAL,3,INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 00:30:00",NSW1,7031,"2024/09/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 00:30:00",QLD1,5803,"2024/09/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 00:30:00",SA1,1435,"2024/09/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 00:30:00",TAS1,1163,"2024/09/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 00:30:00",VIC1,4803,"2024/09/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:00:00",NSW1,6967,"2024/09/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:00:00",QLD1,5702,"2024/09/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:00:00",SA1,1435,"2024/09/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:00:00",TAS1,1149,"2024/09/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:00:00",VIC1,4669,"2024/09/01 01:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:30:00",TAS1,1149,"2024/09/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:30:00",NSW1,6798,"2024/09/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:30:00",QLD1,5636,"2024/09/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:30:00",SA1,1406,"2024/09/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 01:30:00",VIC1,4484,"2024/09/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:00:00",NSW1,6574,"2024/09/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:00:00",QLD1,5560,"2024/09/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:00:00",SA1,1366,"2024/09/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:00:00",TAS1,1143,"2024/09/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:00:00",VIC1,4343,"2024/09/01 02:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:30:00",NSW1,6481,"2024/09/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:30:00",QLD1,5494,"2024/09/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:30:00",SA1,1323,"2024/09/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:30:00",TAS1,1135,"2024/09/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 02:30:00",VIC1,4236,"2024/09/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:00:00",TAS1,1132,"2024/09/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:00:00",NSW1,6314,"2024/09/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:00:00",QLD1,5431,"2024/09/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:00:00",SA1,1280,"2024/09/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:00:00",VIC1,4150,"2024/09/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:30:00",NSW1,6246,"2024/09/01 03:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:30:00",QLD1,5425,"2024/09/01 03:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:30:00",SA1,1251,"2024/09/01 03:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:30:00",TAS1,1131,"2024/09/01 03:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 03:30:00",VIC1,4105,"2024/09/01 03:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:00:00",TAS1,1132,"2024/09/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:00:00",NSW1,6158,"2024/09/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:00:00",QLD1,5405,"2024/09/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:00:00",SA1,1227,"2024/09/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:00:00",VIC1,4057,"2024/09/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:30:00",TAS1,1133,"2024/09/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:30:00",NSW1,6134,"2024/09/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:30:00",QLD1,5387,"2024/09/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:30:00",SA1,1215,"2024/09/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 04:30:00",VIC1,4030,"2024/09/01 04:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:00:00",TAS1,1132,"2024/09/01 05:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:00:00",NSW1,6110,"2024/09/01 05:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:00:00",QLD1,5367,"2024/09/01 05:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:00:00",SA1,1185,"2024/09/01 05:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:00:00",VIC1,3990,"2024/09/01 05:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:30:00",NSW1,6194,"2024/09/01 05:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:30:00",QLD1,5405,"2024/09/01 05:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:30:00",SA1,1176,"2024/09/01 05:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:30:00",TAS1,1143,"2024/09/01 05:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 05:30:00",VIC1,4099,"2024/09/01 05:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:00:00",NSW1,6274,"2024/09/01 06:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:00:00",QLD1,5465,"2024/09/01 06:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:00:00",SA1,1183,"2024/09/01 06:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:00:00",TAS1,1151,"2024/09/01 06:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:00:00",VIC1,4121,"2024/09/01 06:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:30:00",NSW1,6389,"2024/09/01 06:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:30:00",QLD1,5501,"2024/09/01 06:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:30:00",SA1,1186,"2024/09/01 06:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:30:00",TAS1,1179,"2024/09/01 06:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 06:30:00",VIC1,4217,"2024/09/01 06:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:00:00",NSW1,6439,"2024/09/01 07:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:00:00",QLD1,5386,"2024/09/01 07:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:00:00",SA1,1207,"2024/09/01 07:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:00:00",TAS1,1211,"2024/09/01 07:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:00:00",VIC1,4302,"2024/09/01 07:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:30:00",TAS1,1230,"2024/09/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:30:00",NSW1,6250,"2024/09/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:30:00",QLD1,5206,"2024/09/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:30:00",SA1,1220,"2024/09/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 07:30:00",VIC1,4399,"2024/09/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 08:00:00",NSW1,5958,"2024/09/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 08:00:00",QLD1,4955,"2024/09/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 08:00:00",SA1,1215,"2024/09/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/09/01 08:00:00",TAS1,1268,"2024/09/01 08:00:01",0,0
