C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/09/08,20:25:19,001725791119902,MONTHLY_ARCHIVE,001725791119902
I,OPERATIONAL_DEMAND,ACTUAL,3,INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 00:30:00",NSW1,8813,"2024/08/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 00:30:00",QLD1,6148,"2024/08/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 00:30:00",SA1,1603,"2024/08/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 00:30:00",TAS1,1322,"2024/08/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 00:30:00",VIC1,5979,"2024/08/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:00:00",NSW1,8595,"2024/08/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:00:00",QLD1,6023,"2024/08/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:00:00",SA1,1587,"2024/08/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:00:00",TAS1,1295,"2024/08/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:00:00",VIC1,5782,"2024/08/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:30:00",TAS1,1295,"2024/08/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/08/01 01:30:00",NSW1,8357,"2024/08/01 01:30:02",0,0
