C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2025/01/10,14:15:55,001736482555562,MONTHLY_ARCHIVE,001736482555562
I,OPERATIONAL_DEMAND,ACTUAL,3,INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 00:30:00",NSW1,7041,"2024/12/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 00:30:00",QLD1,6304,"2024/12/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 00:30:00",SA1,1305,"2024/12/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 00:30:00",TAS1,1006,"2024/12/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 00:30:00",VIC1,4372,"2024/12/01 00:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:00:00",NSW1,6819,"2024/12/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:00:00",QLD1,6173,"2024/12/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:00:00",SA1,1325,"2024/12/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:00:00",TAS1,998,"2024/12/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:00:00",VIC1,4248,"2024/12/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:30:00",TAS1,1006,"2024/12/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:30:00",NSW1,6648,"2024/12/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:30:00",QLD1,6146,"2024/12/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:30:00",SA1,1301,"2024/12/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 01:30:00",VIC1,4136,"2024/12/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:00:00",NSW1,6534,"2024/12/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:00:00",QLD1,6116,"2024/12/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:00:00",SA1,1263,"2024/12/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:00:00",TAS1,995,"2024/12/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:00:00",VIC1,4017,"2024/12/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:30:00",NSW1,6445,"2024/12/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:30:00",QLD1,5942,"2024/12/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:30:00",SA1,1238,"2024/12/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:30:00",TAS1,990,"2024/12/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 02:30:00",VIC1,3953,"2024/12/01 02:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:00:00",NSW1,6396,"2024/12/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:00:00",QLD1,5861,"2024/12/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:00:00",SA1,1213,"2024/12/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:00:00",TAS1,974,"2024/12/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:00:00",VIC1,3912,"2024/12/01 03:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:30:00",NSW1,6376,"2024/12/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:30:00",QLD1,5824,"2024/12/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:30:00",SA1,1189,"2024/12/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:30:00",TAS1,969,"2024/12/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 03:30:00",VIC1,3881,"2024/12/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:00:00",NSW1,6360,"2024/12/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:00:00",QLD1,5798,"2024/12/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:00:00",SA1,1173,"2024/12/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:00:00",TAS1,960,"2024/12/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:00:00",VIC1,3859,"2024/12/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:30:00",NSW1,6422,"2024/12/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:30:00",QLD1,5797,"2024/12/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:30:00",SA1,1157,"2024/12/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:30:00",TAS1,966,"2024/12/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 04:30:00",VIC1,3903,"2024/12/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:00:00",NSW1,6363,"2024/12/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:00:00",QLD1,5809,"2024/12/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:00:00",SA1,1162,"2024/12/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:00:00",TAS1,972,"2024/12/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:00:00",VIC1,3933,"2024/12/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:30:00",NSW1,6332,"2024/12/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:30:00",QLD1,5769,"2024/12/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:30:00",SA1,1152,"2024/12/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:30:00",TAS1,973,"2024/12/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 05:30:00",VIC1,3929,"2024/12/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:00:00",NSW1,6366,"2024/12/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:00:00",QLD1,5670,"2024/12/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:00:00",SA1,1146,"2024/12/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:00:00",TAS1,972,"2024/12/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:00:00",VIC1,3878,"2024/12/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:30:00",NSW1,6291,"2024/12/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:30:00",QLD1,5493,"2024/12/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:30:00",SA1,1102,"2024/12/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:30:00",TAS1,963,"2024/12/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 06:30:00",VIC1,3785,"2024/12/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:00:00",NSW1,6050,"2024/12/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:00:00",QLD1,5544,"2024/12/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:00:00",SA1,1082,"2024/12/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:00:00",TAS1,971,"2024/12/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:00:00",VIC1,3588,"2024/12/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:30:00",NSW1,6043,"2024/12/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:30:00",QLD1,5664,"2024/12/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:30:00",SA1,995,"2024/12/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:30:00",TAS1,996,"2024/12/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 07:30:00",VIC1,3394,"2024/12/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:00:00",NSW1,5996,"2024/12/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:00:00",QLD1,5610,"2024/12/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:00:00",SA1,900,"2024/12/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:00:00",TAS1,1006,"2024/12/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:00:00",VIC1,3172,"2024/12/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:30:00",NSW1,5918,"2024/12/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:30:00",QLD1,5717,"2024/12/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:30:00",SA1,764,"2024/12/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:30:00",TAS1,997,"2024/12/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 08:30:00",VIC1,2969,"2024/12/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 09:00:00",TAS1,987,"2024/12/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 09:00:00",NSW1,6095,"2024/12/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 09:00:00",QLD1,5588,"2024/12/01 09:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/12/01 09:00:00",SA1,638,"2024/12/01 09:00:01",0,0
