C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/11/11,14:23:43,001731299023004,MONTHLY_ARCHIVE,001731299023004
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:00:00",NSW1,6668,"2024/10/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:00:00",QLD1,5512,"2024/10/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:00:00",SA1,1331,"2024/10/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:00:00",TAS1,1090,"2024/10/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:00:00",VIC1,4358,"2024/10/01 05:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:30:00",NSW1,6887,"2024/10/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:30:00",QLD1,5653,"2024/10/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:30:00",SA1,1310,"2024/10/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:30:00",TAS1,1119,"2024/10/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 05:30:00",VIC1,4552,"2024/10/01 05:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:00:00",NSW1,7051,"2024/10/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:00:00",QLD1,5765,"2024/10/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:00:00",SA1,1325,"2024/10/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:00:00",TAS1,1152,"2024/10/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:00:00",VIC1,4756,"2024/10/01 06:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:30:00",NSW1,7190,"2024/10/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:30:00",QLD1,5773,"2024/10/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:30:00",SA1,1334,"2024/10/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:30:00",TAS1,1207,"2024/10/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 06:30:00",VIC1,5032,"2024/10/01 06:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:00:00",NSW1,7081,"2024/10/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:00:00",QLD1,5593,"2024/10/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:00:00",SA1,1383,"2024/10/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:00:00",TAS1,1233,"2024/10/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:00:00",VIC1,5191,"2024/10/01 07:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:30:00",TAS1,1234,"2024/10/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:30:00",NSW1,6824,"2024/10/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:30:00",QLD1,5376,"2024/10/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:30:00",SA1,1346,"2024/10/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 07:30:00",VIC1,5144,"2024/10/01 07:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:00:00",TAS1,1238,"2024/10/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:00:00",NSW1,6513,"2024/10/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:00:00",QLD1,5012,"2024/10/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:00:00",SA1,1271,"2024/10/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:00:00",VIC1,5048,"2024/10/01 08:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:30:00",NSW1,6082,"2024/10/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:30:00",QLD1,4673,"2024/10/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:30:00",SA1,1144,"2024/10/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:30:00",TAS1,1185,"2024/10/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 08:30:00",VIC1,4844,"2024/10/01 08:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/10/01 09:00:00",NSW1,5575,"2024/10/01 09:00:01",0,0
