C,SETP.WORLD,DVD_DEMANDOPERATIONALACTUAL,AEMO,PUBLIC,2024/12/09,13:04:49,001733713489267,MONTHLY_ARCHIVE,001733713489267
I,OPERATIONAL_DEMAND,ACTUAL,3,INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 00:30:00",NSW1,6855,"2024/11/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 00:30:00",QLD1,5762,"2024/11/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 00:30:00",SA1,1252,"2024/11/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 00:30:00",TAS1,1082,"2024/11/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 00:30:00",VIC1,4548,"2024/11/01 00:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:00:00",NSW1,6680,"2024/11/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:00:00",QLD1,5626,"2024/11/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:00:00",SA1,1286,"2024/11/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:00:00",TAS1,1085,"2024/11/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:00:00",VIC1,4440,"2024/11/01 01:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:30:00",NSW1,6541,"2024/11/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:30:00",QLD1,5539,"2024/11/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:30:00",SA1,1277,"2024/11/01 01:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:30:00",TAS1,1081,"2024/11/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 01:30:00",VIC1,4355,"2024/11/01 01:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:00:00",NSW1,6350,"2024/11/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:00:00",QLD1,5488,"2024/11/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:00:00",SA1,1244,"2024/11/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:00:00",TAS1,1088,"2024/11/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:00:00",VIC1,4280,"2024/11/01 02:00:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:30:00",NSW1,6301,"2024/11/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:30:00",QLD1,5442,"2024/11/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:30:00",SA1,1204,"2024/11/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:30:00",TAS1,1092,"2024/11/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 02:30:00",VIC1,4197,"2024/11/01 02:30:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:00:00",NSW1,6186,"2024/11/01 03:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:00:00",QLD1,5429,"2024/11/01 03:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:00:00",SA1,1168,"2024/11/01 03:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:00:00",TAS1,1094,"2024/11/01 03:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:00:00",VIC1,4151,"2024/11/01 03:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:30:00",NSW1,6206,"2024/11/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:30:00",QLD1,5405,"2024/11/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:30:00",SA1,1138,"2024/11/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:30:00",TAS1,1088,"2024/11/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 03:30:00",VIC1,4133,"2024/11/01 03:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:00:00",NSW1,6219,"2024/11/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:00:00",QLD1,5438,"2024/11/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:00:00",SA1,1126,"2024/11/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:00:00",TAS1,1118,"2024/11/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:00:00",VIC1,4202,"2024/11/01 04:00:02",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:30:00",NSW1,6433,"2024/11/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:30:00",QLD1,5468,"2024/11/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:30:00",SA1,1129,"2024/11/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:30:00",TAS1,1139,"2024/11/01 04:30:01",0,0
D,OPERATIONAL_DEMAND,ACTUAL,3,"2024/11/01 04:30:00",VIC1,4378,"2024/11/01 04:30:01",0,0
