INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND.1,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE
2024/10/01 00:30:00,NSW1,7423.0,2024/10/01 00:30:01,0.0,0.0
2024/10/01 00:30:00,QLD1,5639.0,2024/10/01 00:30:01,0.0,0.0
2024/10/01 00:30:00,SA1,1491.0,2024/10/01 00:30:01,0.0,0.0
2024/10/01 00:30:00,TAS1,1088.0,2024/10/01 00:30:01,0.0,0.0
2024/10/01 00:30:00,VIC1,4875.0,2024/10/01 00:30:01,0.0,0.0
2024/10/01 01:00:00,NSW1,7275.0,2024/10/01 01:00:01,0.0,0.0
2024/10/01 01:00:00,QLD1,5517.0,2024/10/01 01:00:01,0.0,0.0
2024/10/01 01:00:00,SA1,1500.0,2024/10/01 01:00:01,0.0,0.0
2024/10/01 01:00:00,TAS1,1070.0,2024/10/01 01:00:01,0.0,0.0
2024/10/01 01:00:00,VIC1,4780.0,2024/10/01 01:00:01,0.0,0.0
2024/10/01 01:30:00,NSW1,7151.0,2024/10/01 01:30:01,0.0,0.0
2024/10/01 01:30:00,QLD1,5438.0,2024/10/01 01:30:01,0.0,0.0
2024/10/01 01:30:00,SA1,1471.0,2024/10/01 01:30:01,0.0,0.0
2024/10/01 01:30:00,TAS1,1067.0,2024/10/01 01:30:01,0.0,0.0
2024/10/01 01:30:00,VIC1,4655.0,2024/10/01 01:30:01,0.0,0.0
2024/10/01 02:00:00,NSW1,6914.0,2024/10/01 02:00:01,0.0,0.0
2024/10/01 02:00:00,QLD1,5392.0,2024/10/01 02:00:01,0.0,0.0
2024/10/01 02:00:00,SA1,1443.0,2024/10/01 02:00:01,0.0,0.0
2024/10/01 02:00:00,TAS1,1054.0,2024/10/01 02:00:01,0.0,0.0
2024/10/01 02:00:00,VIC1,4493.0,2024/10/01 02:00:01,0.0,0.0
2024/10/01 02:30:00,NSW1,6765.0,2024/10/01 02:30:01,0.0,0.0
2024/10/01 02:30:00,QLD1,5368.0,2024/10/01 02:30:01,0.0,0.0
2024/10/01 02:30:00,SA1,1409.0,2024/10/01 02:30:01,0.0,0.0
2024/10/01 02:30:00,TAS1,1058.0,2024/10/01 02:30:01,0.0,0.0
2024/10/01 02:30:00,VIC1,4398.0,2024/10/01 02:30:01,0.0,0.0
2024/10/01 03:00:00,NSW1,6594.0,2024/10/01 03:00:01,0.0,0.0
